LANGUAGE,ALTERNATIVE NAMES,ISO 639-2,Data Collected
Swahili,Kiswahili,swh,1GB
Gikuyu,"Kikuyu,Kikikuyu,Gekoyo",kik,300 MB
Oluluyia,"Luhya, Luyia, Kiluhya, Kiluyia",luy,700 MB
Kalenjin,"Kalenjiin, Kaleenchin",kln,196 MB (Ongoing)
Kamba,"Kiikamba, Kikamba",kam,269 MB
Dholuo,Luo/Kiluo/Kijaluo,luo,272 MB
Kiembu,Embu,ebu,On hold
Ekegusii,Kisii/Gusii/Kikisii,guz,267 MB
Somali,"Kisomali, Af-Soomaali, Af Soomaali",som,800 MB
kipsigis,"Kipsiikis, Kipsikiis, Kipsikis",sgc,
Kimiiru,Meru/Kimeru/Kimîîru,mer,175 MB (Ongoing)
Bukusu,Lubukusu,bxk,
Turkana,"Ng'aturkana, Kiturkana",tuv,11 MB Ongoing
luidakho/isukha/tiriki," Idakho-Isukha-Tiriki , idakho, isukha, tiriki,",ida,
Nandi,"Naandi, kinandi",niq,
Kigiryama,"Kigiriama, Giryama, Giriama",nyf,50 MB Ongoing
Maasai,Maa/Masai/Kimasai/Kimaasai,mas,134 MB 
kuria,"Kikuria, kurya",kuj,
Pökoot,"Pökot, pokot, pakot, suk, Kipokot",pko,
Lulogooli/,"Kimaragoli, logoli, maragoli, Maragooli, Ragoli, Ragooli, Logooli, lugooli, ",rag,
Chiduruma,"Duruma, Kiduruma",dug,Ongoing
Keiyo,"keyo, elgeyo",eyo,
kenyan sign language ,,xki,
Teso,"Iteso, Kiteso",teo,
Olunyole/,"Nyole, Lunyole, Lunyore, Nyoole, Nyore, Olunyore",nyd,
oluwanga /,"wanga, luwanga, luhanga, oluhanga",lwg,
Terik/,nyang'ori,tec,
Dawida,"Taita, Kitaita, Dabida, Davida, Kidabida, kidawida",dav,34 MB Ongoing
lukabaras/,"kabarasi, kabras, lakabras",klb,
Sabaot/mout elgon maasai,Sābāwōōt,spy,
Samburu,Kisamburu,saq,67 MB
chonyi,"chichonyi, kichonyi",coh,
marakweeta,"marakwet, Marakuet, Marakweta",enb,
kitharaka,Tharaka,thk,
Borana,Boraana,gax,20 MB
olumarachi/,marachi,lri,
olumarama/,marama,lrm,
Tugen,tuken,tuy,
Suba/,abasuba,sxb,
Olushisa/,kisa,lks,
Chidigo,"Digo, Kidigo",dig,Ongoing
Olukhayo/,"khayoo, khayo",iko,
Olusamia/,"saamia, Lusaamia, Lusamia, Olusaamia",lsm,
Olutsotso/,"tsotso, ",lto,
Lutachoni/tachoni,"tachoni, Tatsoni",lts,
Sagalla/,"kisagala,Sagala, Kisagalla, saghala, kishaghala",tga,
kipokomo,"Pfokomo, Pokomo",pkb,
Okiek,ogiek,oki,
Gichuka,"chuka, ",cuh,
mwimbi-muthambi,"Mwimbi, Kimwimbi, Muthambi",mws,
Orma,Munyo,orc,
Rendille,"Randile, Rendile",rel,
Gujarati,"Gujerathi, Gujerati, Gujrathi",guj,
Nubi,Kinubi,kcn,
Burji,Bambala,bji,
Taveta,"Kitaveta, Kitubeta, Tubeta, kibheta",tvs,
kiwilwana,"Elwana, Ilwana",mlk,
"arabi, omani spoken",,acx,
Waata/wasanye,"Sanya, Sanye, Waat",ssn,
daasanach/merile,"Daasanech, Dama, Dasenech, Dathanaik, Dhaasanac, Geleb, Geleba, Gheleba, Marille",dsh,
"punjabi,eastern ","Gurmukhi, Gurumukhi",pan,
aweer/waboni,"Aweera, Bon, Ogoda, Waboni, Watabala",bob,
Elmolo,"Dehes, El molo",elo,
Dahalo,"Guo Garimani, Sanye",dal,
Omotik,"Laamoot, Omotic, dorobo",omt,
Singa,"Lusinga, Lugang",sgm,
Yaaku,"Mukogodo, yaakua, mugogodo, yiaku",muu,
